ID,Make,Model,Price,Year,Odometer,Fuel type,Engine type,Color,Body,Transmission,Drive
16100972,Kia,Sephia,200,1994,1000000,бензин,1400,зеленый,седан,Механика,Передний
16100884,Volkswagen,Santana,200,1985,33333,бензин,1588,бордовый,седан,Механика,
16092200,Volkswagen,Santana,200,1984,360000,бензин (пропан-бутан),1600,коричневый,седан,Механика,Передний
16083905,Daihatsu,Cuore,200,1991,108000,бензин,850,красный,хэтчбек 3 дв.,Механика,Передний
16080039,Citroen,Xantia,200,1996,237946,бензин,2000,серебристый,хэтчбек 5 дв.,Механика,Передний
16070032,Ford,Orion,200,1994,342,бензин,1600,серый,седан,Механика,Передний
16069491,Ford,Orion,200,1991,58560,дизель,1800,другой,седан,Механика,Передний
16068437,Lada (ВАЗ),2107,200,1995,230000,бензин,1500,серый,седан,Механика,Задний
16056208,Ford,Sierra,200,1992,60000,дизель,1800,бордовый,универсал,Механика,Задний
16050152,Volkswagen,Santana,200,1984,500,бензин,1800,серебристый,хэтчбек 5 дв.,Механика,Передний
16049929,Lada (ВАЗ),2108,200,1986,100000,бензин,1500,синий,хэтчбек 3 дв.,Механика,Передний
16031529,Opel,Rekord,200,1982,99999,бензин (пропан-бутан),2000,зеленый,седан,Механика,Задний
16030937,Lada (ВАЗ),2107,200,1990,70000,бензин,1500,белый,седан,Механика,Задний
16020298,Renault,19,200,1994,250000,бензин (пропан-бутан),1800,зеленый,хэтчбек 5 дв.,Механика,Передний
16015055,Rover,600,200,1998,3000468,дизель,2000,красный,седан,Механика,Передний
15994951,Fiat,Tipo,200,1993,333333,бензин,1400,серебристый,хэтчбек 5 дв.,Механика,Передний
15991131,Opel,Vectra,200,1993,111111,бензин,1600,серый,седан,Механика,Передний
15986897,Toyota,Carina,200,1988,999999,бензин,1600,серебристый,седан,Механика,Передний
15980545,BMW,5 серия,200,1980,100000,бензин,2000,белый,седан,Механика,Задний
15964643,Volkswagen,Passat,200,1986,30000,бензин,2000,красный,универсал,Механика,Передний
15964173,Ford,Sierra,200,1988,240000,бензин,2000,синий,хэтчбек 5 дв.,Механика,Задний
15948269,Mazda,626,200,1985,300000,бензин (пропан-бутан),2000,бордовый,хэтчбек 5 дв.,Механика,Передний
15933950,Fiat,Tempra,200,1992,999999,бензин,1400,синий,седан,Механика,Передний
15932005,Volkswagen,Santana,200,1994,312000,бензин,1800,другой,седан,Механика,Передний
15915017,Peugeot,309,200,1993,202750,бензин,1400,серебристый,хэтчбек 5 дв.,Механика,Передний
15914151,Ford,Escort,200,1989,44278,бензин,1400,коричневый,хэтчбек 3 дв.,Механика,Передний
15877591,Ford,Escort,200,1995,300000,бензин,1600,бордовый,хэтчбек 5 дв.,Механика,Передний
15839422,Citroen,ZX,200,1994,320554,бензин,1400,красный,хэтчбек 5 дв.,Механика,Передний
15811836,Opel,Ascona,200,1986,100,бензин,1600,синий,седан,Механика,Передний
15758413,Ford,Escort,200,1993,1,бензин,1400,синий,хэтчбек 5 дв.,Механика,
15742516,Ford,Escort,200,1987,111,бензин,1300,белый,хэтчбек 5 дв.,Механика,Передний
15739717,Москвич,2141,200,1991,130000,бензин,1500,серый,хэтчбек 5 дв.,Механика,Передний
15737885,Volkswagen,Golf,200,1980,300000,бензин,1300,красный,хэтчбек 5 дв.,Механика,Передний
15711873,Suzuki,Swift,200,1994,380000,бензин,1000,синий,хэтчбек 3 дв.,Механика,Передний
15699761,Audi,100,200,1988,343433,бензин,1800,черный,седан,Механика,Передний
15693041,Fiat,Uno,200,1989,160000,бензин,1000,белый,хэтчбек 3 дв.,Механика,Передний
15679900,Lada (ВАЗ),2106,200,1996,1,бензин,1300,другой,седан,Механика,
15675754,Renault,19,200,1996,250000,бензин,1800,бордовый,седан,Механика,Передний
15638498,Renault,21,200,1993,470000,бензин,1700,серебристый,универсал,Механика,Передний
15579457,Hyundai,Lantra,200,1992,250000,бензин,1500,серебристый,седан,Механика,Передний
15564013,Skoda,Felicia,200,1996,200000,бензин,1300,синий,универсал,Механика,Передний
15535217,Citroen,Xantia,200,1998,400000,дизель,2100,серебристый,хэтчбек 5 дв.,Механика,Передний
15504600,Peugeot,405,200,1991,2,дизель,1900,синий,седан,Механика,Передний
15483673,Mitsubishi,Galant,200,1993,300000,дизель,2000,черный,седан,Механика,Передний
15477646,Nissan,Sunny,200,1993,450000,дизель,2000,красный,универсал,Механика,Передний
15454175,ЗАЗ,1102 Таврия,200,2001,1300,бензин (пропан-бутан),1100,синий,хэтчбек 3 дв.,Механика,Передний
15188919,Lada (ВАЗ),2109,200,1995,300000,бензин,1500,зеленый,хэтчбек 5 дв.,Механика,Передний
14994295,Kia,Pride,200,1999,100000,бензин,1300,бордовый,хэтчбек 3 дв.,Механика,Передний
14667872,Москвич,2137,200,1991,80000,бензин,1500,белый,другой,Механика,Задний
14636822,Suzuki,Swift,200,1991,200000,бензин,1300,серый,седан,Автомат,Передний
14619491,Ford,Escort,200,1995,333333,бензин,1600,белый,хэтчбек 5 дв.,Механика,Передний
14585874,Ford,Sierra,200,1986,5588665,бензин,1600,серый,хэтчбек 5 дв.,Механика,Задний
14555106,Peugeot,405,200,1994,999999,дизель,1900,синий,седан,Механика,Передний
14289924,Renault,19,200,1992,112000,бензин,1800,красный,седан,Механика,
14273057,Ford,Escort,200,1991,180000,дизель,1800,красный,универсал,Механика,
14099819,Ford,Escort,200,1990,250000,бензин,1400,синий,хэтчбек 5 дв.,Механика,Передний
14082367,Москвич,412,200,1975,85000,бензин,1500,белый,седан,Механика,Задний
13989834,Ford,Escort,200,1995,400000,бензин,1600,бордовый,универсал,Механика,Передний
13728519,Toyota,Corolla,200,1990,300000,бензин,1300,белый,хэтчбек 3 дв.,Механика,Передний
13698157,Renault,25,200,1987,210000,бензин,2200,синий,хэтчбек 5 дв.,Механика,Передний
13550161,Ford,Sierra,200,1986,300000,бензин,2000,зеленый,хэтчбек 5 дв.,Механика,Передний
